RA,Nome Anonimizado,Fase,Pedra atual,INDE atual,prob_composite,faixa_risco_composite
RA-1137,Aluno-1137,3,Ametista,7.1837526524666675,0.5282,Médio
RA-1638,Aluno-1638,9,,,0.5282,Médio
RA-1659,Aluno-1659,9,,,0.5282,Médio
RA-1658,Aluno-1658,9,,,0.5282,Médio
RA-1639,Aluno-1639,9,,,0.5282,Médio
RA-1657,Aluno-1657,9,,,0.5282,Médio
RA-1656,Aluno-1656,9,,,0.5282,Médio
RA-1655,Aluno-1655,9,,,0.5282,Médio
RA-1640,Aluno-1640,9,,,0.5282,Médio
RA-1642,Aluno-1642,9,,,0.5282,Médio
RA-1650,Aluno-1650,9,,,0.5282,Médio
RA-1643,Aluno-1643,9,,,0.5282,Médio
RA-1654,Aluno-1654,9,,,0.5282,Médio
RA-1644,Aluno-1644,9,,,0.5282,Médio
RA-1645,Aluno-1645,9,,,0.5282,Médio
RA-1646,Aluno-1646,9,,,0.5282,Médio
RA-1653,Aluno-1653,9,,,0.5282,Médio
RA-1652,Aluno-1652,9,,,0.5282,Médio
RA-1647,Aluno-1647,9,,,0.5282,Médio
RA-1651,Aluno-1651,9,,,0.5282,Médio
RA-1648,Aluno-1648,9,,,0.5282,Médio
RA-1637,Aluno-1637,9,,,0.5282,Médio
RA-1661,Aluno-1661,9,,,0.5282,Médio
RA-1547,Aluno-1547,3,Agata,6.748480626800001,0.5268,Médio
RA-171,Aluno-171,6,Ametista,7.328933333333333,0.5268,Médio
RA-1460,Aluno-1460,2,Agata,6.784805263200001,0.5264,Médio
RA-956,Aluno-956,1,Agata,6.1175906455,0.5262,Médio
RA-1029,Aluno-1029,1,Ametista,7.797790909100001,0.526,Médio
RA-387,Aluno-387,3,Agata,6.125500000000001,0.526,Médio
RA-1614,Aluno-1614,5,Agata,6.787898989933334,0.525,Médio
RA-125,Aluno-125,6,Agata,6.627079761933334,0.525,Médio
RA-286,Aluno-286,5,Quartzo,5.123180882333333,0.5246,Médio
RA-1520,Aluno-1520,3,Ametista,7.0026462121333335,0.5245,Médio
RA-1414,Aluno-1414,1,Topázio,8.840007359300001,0.5244,Médio
RA-777,Aluno-777,2,Ametista,7.563515408100001,0.5235,Médio
RA-955,Aluno-955,1,Agata,6.245452381,0.5234,Médio
RA-360,Aluno-360,3,Agata,6.293175689166667,0.5226,Médio
RA-251,Aluno-251,5,Agata,6.7135006212,0.5223,Médio
RA-1533,Aluno-1533,3,Topázio,9.089828985533336,0.5221,Médio
RA-1229,Aluno-1229,7,Quartzo,4.8238,0.5217,Médio
RA-1563,Aluno-1563,4,Ametista,7.604211111133335,0.5215,Médio
RA-202,Aluno-202,5,Ametista,7.3512154762,0.5215,Médio
RA-305,Aluno-305,4,Agata,6.693026811600001,0.5213,Médio
RA-680,Aluno-680,2,Quartzo,4.9800714287000005,0.5212,Médio
RA-493,Aluno-493,3,Ametista,7.464325,0.5209,Médio
